job_id,title,company,location,work_mode,commute_km,salary_lpa,required_skills,accessibility_features,flexibility_score,accessibility_score,workplace_support_score
JOB-1013,Technical Support Associate,Accessible Employer M,Pune,Remote,26.9,12.7,customer_support;excel;documentation;sql,remote_option;accessible_toilet;captioned_meetings;assistive_technology;wheelchair_access;step_free_entry,80,98,93
JOB-1014,QA Analyst,Accessible Employer N,Chennai,Remote,18.1,12.2,testing;communication;sql;customer_support,remote_option;flexible_schedule;quiet_workspace;accessible_parking;captioned_meetings;wheelchair_access,62,97,54
JOB-1015,Business Analyst,Accessible Employer O,Bengaluru,Hybrid,21.0,8.5,design;project_management;data_analysis;excel,accessible_toilet;quiet_workspace;step_free_entry;assistive_technology;flexible_schedule;remote_option,81,63,70
JOB-1016,Data Analyst,Accessible Employer P,Chennai,Remote,30.3,8.1,python;communication;excel;data_analysis,accessible_toilet;ergonomic_workspace;captioned_meetings;screen_reader_support;wheelchair_access;flexible_schedule,63,97,73
JOB-1017,Data Analyst,Accessible Employer Q,Delhi,On-site,18.2,10.5,communication;excel;python;testing,accessible_parking;remote_option;wheelchair_access;flexible_schedule;step_free_entry;accessible_toilet,91,71,84
JOB-1018,Technical Support Associate,Accessible Employer R,Remote,Hybrid,16.4,16.7,python;testing;project_management;excel,ergonomic_workspace;step_free_entry;quiet_workspace;remote_option;flexible_schedule;captioned_meetings,84,90,53
JOB-1019,Project Coordinator,Accessible Employer S,Delhi,Remote,20.9,18.0,excel;customer_support;python;design,remote_option;flexible_schedule;accessible_toilet;accessible_parking;quiet_workspace;wheelchair_access,70,69,61
JOB-1020,Business Analyst,Accessible Employer T,Pune,Remote,20.6,18.8,testing;documentation;data_analysis;communication,accessible_parking;flexible_schedule;quiet_workspace;screen_reader_support;captioned_meetings;assistive_technology,97,97,100
JOB-1021,Project Coordinator,Accessible Employer U,Pune,On-site,18.9,14.9,data_analysis;python;project_management;customer_support,quiet_workspace;ergonomic_workspace;flexible_schedule;wheelchair_access;captioned_meetings;step_free_entry,100,85,91
JOB-1022,Operations Associate,Accessible Employer V,Delhi,Hybrid,14.4,4.1,design;excel;communication;customer_support,wheelchair_access;ergonomic_workspace;step_free_entry;assistive_technology;screen_reader_support;quiet_workspace,89,91,73
JOB-1023,Technical Support Associate,Accessible Employer W,Pune,Hybrid,32.3,5.3,customer_support;communication;testing;data_analysis,accessible_toilet;flexible_schedule;screen_reader_support;assistive_technology;accessible_parking;step_free_entry,86,68,69
JOB-1024,Technical Support Associate,Accessible Employer X,Pune,On-site,16.9,8.8,sql;communication;excel;documentation,screen_reader_support;remote_option;assistive_technology;wheelchair_access;accessible_parking;ergonomic_workspace,73,56,55
JOB-1025,Documentation Specialist,Accessible Employer Y,Remote,Hybrid,25.0,5.6,design;testing;customer_support;documentation,screen_reader_support;step_free_entry;accessible_toilet;ergonomic_workspace;assistive_technology;remote_option,81,66,76
JOB-1026,Business Analyst,Accessible Employer Z,Hyderabad,Hybrid,22.2,4.0,project_management;testing;data_analysis;sql,assistive_technology;remote_option;quiet_workspace;accessible_toilet;step_free_entry;captioned_meetings,57,59,79
JOB-1027,Python Developer,Accessible Employer A,Chennai,On-site,5.0,12.3,design;communication;testing;documentation,flexible_schedule;remote_option;assistive_technology;step_free_entry;quiet_workspace;wheelchair_access,92,57,94
JOB-1028,Customer Support Specialist,Accessible Employer B,Delhi,On-site,32.5,12.6,design;data_analysis;customer_support;documentation,assistive_technology;accessible_parking;wheelchair_access;step_free_entry;accessible_toilet;quiet_workspace,88,82,79
JOB-1029,Operations Associate,Accessible Employer C,Mumbai,Hybrid,26.1,13.0,sql;project_management;communication;data_analysis,assistive_technology;flexible_schedule;step_free_entry;captioned_meetings;quiet_workspace;remote_option,92,97,99
JOB-1030,Software Engineer,Accessible Employer D,Pune,Hybrid,3.1,11.9,communication;excel;customer_support;design,accessible_parking;flexible_schedule;quiet_workspace;ergonomic_workspace;assistive_technology;wheelchair_access,54,86,73
JOB-1031,Business Analyst,Accessible Employer E,Delhi,Remote,15.8,15.9,excel;testing;documentation;design,assistive_technology;quiet_workspace;step_free_entry;accessible_toilet;ergonomic_workspace;remote_option,57,91,89
JOB-1032,Python Developer,Accessible Employer F,Delhi,Remote,33.0,7.8,customer_support;python;sql;documentation,accessible_toilet;wheelchair_access;quiet_workspace;remote_option;accessible_parking;screen_reader_support,70,98,66
JOB-1033,Operations Associate,Accessible Employer G,Remote,Remote,2.9,5.0,sql;project_management;testing;excel,quiet_workspace;remote_option;assistive_technology;flexible_schedule;ergonomic_workspace;accessible_parking,85,62,95
JOB-1034,Customer Support Specialist,Accessible Employer H,Hyderabad,Hybrid,29.3,4.6,customer_support;documentation;design;data_analysis,screen_reader_support;flexible_schedule;remote_option;step_free_entry;accessible_toilet;ergonomic_workspace,89,72,58
JOB-1035,Python Developer,Accessible Employer I,Remote,Remote,20.6,16.0,excel;data_analysis;sql;project_management,quiet_workspace;assistive_technology;screen_reader_support;wheelchair_access;flexible_schedule;accessible_toilet,54,55,79
JOB-1036,Technical Support Associate,Accessible Employer J,Hyderabad,Remote,27.0,7.5,data_analysis;communication;documentation;sql,assistive_technology;flexible_schedule;remote_option;step_free_entry;captioned_meetings;accessible_toilet,91,88,79
JOB-1037,Documentation Specialist,Accessible Employer K,Hyderabad,Hybrid,14.0,17.7,communication;testing;project_management;sql,screen_reader_support;quiet_workspace;captioned_meetings;step_free_entry;flexible_schedule;accessible_parking,70,79,68
JOB-1038,Data Analyst,Accessible Employer L,Pune,On-site,3.8,18.6,communication;design;customer_support;excel,quiet_workspace;accessible_parking;ergonomic_workspace;accessible_toilet;flexible_schedule;remote_option,64,94,77
JOB-1039,Documentation Specialist,Accessible Employer M,Chennai,Hybrid,17.5,18.7,python;testing;customer_support;documentation,captioned_meetings;wheelchair_access;remote_option;accessible_parking;flexible_schedule;accessible_toilet,85,68,62
JOB-1040,Business Analyst,Accessible Employer N,Remote,Remote,25.4,11.9,data_analysis;sql;customer_support;documentation,accessible_toilet;assistive_technology;step_free_entry;ergonomic_workspace;remote_option;accessible_parking,54,71,88
JOB-1041,Software Engineer,Accessible Employer O,Remote,Remote,16.6,6.3,testing;project_management;design;excel,remote_option;assistive_technology;flexible_schedule;captioned_meetings;wheelchair_access;ergonomic_workspace,88,97,73
JOB-1042,Project Coordinator,Accessible Employer P,Pune,Remote,34.4,15.6,data_analysis;customer_support;sql;communication,ergonomic_workspace;accessible_toilet;flexible_schedule;step_free_entry;assistive_technology;captioned_meetings,81,71,79
JOB-1043,Project Coordinator,Accessible Employer Q,Delhi,Hybrid,23.4,18.5,python;excel;design;customer_support,screen_reader_support;wheelchair_access;assistive_technology;accessible_toilet;captioned_meetings;ergonomic_workspace,82,78,65
JOB-1044,QA Analyst,Accessible Employer R,Remote,On-site,26.1,6.3,design;data_analysis;customer_support;documentation,screen_reader_support;step_free_entry;ergonomic_workspace;accessible_parking;quiet_workspace;accessible_toilet,74,87,54
JOB-1045,Software Engineer,Accessible Employer S,Pune,Remote,29.0,4.1,data_analysis;documentation;project_management;customer_support,remote_option;captioned_meetings;quiet_workspace;flexible_schedule;accessible_parking;accessible_toilet,85,92,98
JOB-1046,Documentation Specialist,Accessible Employer T,Bengaluru,On-site,8.8,12.7,excel;communication;design;sql,ergonomic_workspace;wheelchair_access;captioned_meetings;assistive_technology;remote_option;quiet_workspace,62,85,96
JOB-1047,Technical Support Associate,Accessible Employer U,Delhi,Remote,6.0,14.5,documentation;excel;customer_support;design,wheelchair_access;accessible_toilet;captioned_meetings;remote_option;flexible_schedule;accessible_parking,53,93,97
JOB-1048,Software Engineer,Accessible Employer V,Remote,Remote,13.0,18.3,excel;communication;data_analysis;documentation,accessible_parking;ergonomic_workspace;remote_option;accessible_toilet;assistive_technology;flexible_schedule,59,87,84
JOB-1049,Technical Support Associate,Accessible Employer W,Pune,On-site,13.1,5.1,python;data_analysis;project_management;documentation,accessible_toilet;ergonomic_workspace;flexible_schedule;screen_reader_support;remote_option;captioned_meetings,68,62,50
JOB-1050,Business Analyst,Accessible Employer X,Mumbai,Remote,34.2,10.9,sql;data_analysis;python;communication,step_free_entry;flexible_schedule;captioned_meetings;quiet_workspace;remote_option;accessible_parking,64,71,89
JOB-1051,Customer Support Specialist,Accessible Employer Y,Mumbai,Remote,11.7,17.1,python;excel;customer_support;project_management,ergonomic_workspace;accessible_parking;wheelchair_access;screen_reader_support;accessible_toilet;remote_option,82,84,68
JOB-1052,QA Analyst,Accessible Employer Z,Pune,Hybrid,7.9,18.1,testing;customer_support;documentation;data_analysis,accessible_toilet;remote_option;wheelchair_access;screen_reader_support;quiet_workspace;step_free_entry,97,86,53
JOB-1053,Data Analyst,Accessible Employer A,Delhi,Remote,8.9,5.4,project_management;data_analysis;communication;customer_support,quiet_workspace;accessible_parking;assistive_technology;wheelchair_access;flexible_schedule;ergonomic_workspace,100,84,51
JOB-1054,QA Analyst,Accessible Employer B,Chennai,Hybrid,19.5,8.9,communication;documentation;data_analysis;excel,accessible_parking;wheelchair_access;accessible_toilet;captioned_meetings;remote_option;flexible_schedule,79,87,90
JOB-1055,Operations Associate,Accessible Employer C,Delhi,Hybrid,34.4,14.9,documentation;customer_support;python;data_analysis,wheelchair_access;assistive_technology;quiet_workspace;accessible_parking;flexible_schedule;captioned_meetings,50,70,58
JOB-1056,Python Developer,Accessible Employer D,Remote,Hybrid,32.9,5.6,design;python;data_analysis;customer_support,accessible_parking;captioned_meetings;flexible_schedule;screen_reader_support;ergonomic_workspace;remote_option,98,58,77
JOB-1057,QA Analyst,Accessible Employer E,Delhi,Hybrid,14.7,12.4,python;excel;customer_support;testing,step_free_entry;accessible_parking;screen_reader_support;captioned_meetings;flexible_schedule;accessible_toilet,85,63,54
JOB-1058,Python Developer,Accessible Employer F,Pune,On-site,14.0,8.8,testing;communication;python;design,ergonomic_workspace;remote_option;screen_reader_support;assistive_technology;step_free_entry;quiet_workspace,95,89,88
JOB-1059,Customer Support Specialist,Accessible Employer G,Delhi,On-site,34.6,12.9,testing;excel;python;data_analysis,ergonomic_workspace;captioned_meetings;wheelchair_access;step_free_entry;remote_option;flexible_schedule,92,94,88
JOB-1060,Python Developer,Accessible Employer H,Bengaluru,Hybrid,20.0,15.6,testing;communication;sql;design,assistive_technology;accessible_parking;step_free_entry;flexible_schedule;screen_reader_support;accessible_toilet,78,78,58
JOB-1061,Software Engineer,Accessible Employer I,Delhi,Hybrid,27.2,17.0,communication;documentation;sql;testing,wheelchair_access;flexible_schedule;quiet_workspace;assistive_technology;accessible_toilet;remote_option,78,77,59
JOB-1062,QA Analyst,Accessible Employer J,Remote,Hybrid,5.4,17.1,project_management;customer_support;data_analysis;communication,assistive_technology;captioned_meetings;quiet_workspace;ergonomic_workspace;accessible_parking;remote_option,98,71,98
JOB-1063,Technical Support Associate,Accessible Employer K,Pune,On-site,11.7,14.0,documentation;design;python;excel,accessible_toilet;screen_reader_support;step_free_entry;quiet_workspace;ergonomic_workspace;remote_option,82,61,98
JOB-1064,Data Analyst,Accessible Employer L,Chennai,On-site,13.9,16.5,testing;documentation;communication;design,accessible_parking;accessible_toilet;quiet_workspace;flexible_schedule;wheelchair_access;step_free_entry,70,82,80
JOB-1065,Python Developer,Accessible Employer M,Bengaluru,On-site,23.6,19.3,sql;excel;testing;customer_support,assistive_technology;captioned_meetings;ergonomic_workspace;flexible_schedule;remote_option;screen_reader_support,97,85,65
JOB-1066,Software Engineer,Accessible Employer N,Remote,On-site,22.1,8.6,design;documentation;python;customer_support,accessible_parking;flexible_schedule;ergonomic_workspace;captioned_meetings;screen_reader_support;assistive_technology,95,88,92
JOB-1067,Project Coordinator,Accessible Employer O,Pune,Remote,33.7,13.4,communication;excel;python;design,wheelchair_access;assistive_technology;remote_option;flexible_schedule;step_free_entry;quiet_workspace,75,69,50
JOB-1068,Technical Support Associate,Accessible Employer P,Mumbai,Remote,4.0,10.1,data_analysis;sql;communication;project_management,ergonomic_workspace;accessible_toilet;flexible_schedule;captioned_meetings;step_free_entry;accessible_parking,62,73,51
JOB-1069,QA Analyst,Accessible Employer Q,Remote,On-site,13.3,10.1,sql;testing;communication;design,quiet_workspace;assistive_technology;wheelchair_access;captioned_meetings;screen_reader_support;accessible_toilet,59,92,55
JOB-1070,Software Engineer,Accessible Employer R,Remote,Hybrid,33.6,16.1,data_analysis;project_management;design;sql,assistive_technology;screen_reader_support;ergonomic_workspace;quiet_workspace;flexible_schedule;wheelchair_access,91,87,69
JOB-1071,Project Coordinator,Accessible Employer S,Hyderabad,Hybrid,31.0,8.0,project_management;communication;excel;design,ergonomic_workspace;captioned_meetings;screen_reader_support;assistive_technology;wheelchair_access;flexible_schedule,86,73,60
JOB-1072,Documentation Specialist,Accessible Employer T,Chennai,Hybrid,28.5,14.8,customer_support;testing;sql;project_management,wheelchair_access;captioned_meetings;assistive_technology;ergonomic_workspace;step_free_entry;quiet_workspace,58,65,57
JOB-1073,Technical Support Associate,Accessible Employer U,Hyderabad,Hybrid,22.9,7.0,python;communication;data_analysis;testing,flexible_schedule;step_free_entry;accessible_toilet;quiet_workspace;screen_reader_support;wheelchair_access,75,82,99
JOB-1074,Data Analyst,Accessible Employer V,Chennai,On-site,30.1,18.3,excel;documentation;design;python,remote_option;accessible_toilet;quiet_workspace;wheelchair_access;screen_reader_support;assistive_technology,95,62,68
JOB-1075,Data Analyst,Accessible Employer W,Hyderabad,Remote,31.6,14.5,python;data_analysis;customer_support;sql,quiet_workspace;accessible_toilet;remote_option;captioned_meetings;flexible_schedule;wheelchair_access,59,57,52
JOB-1076,Data Analyst,Accessible Employer X,Remote,Hybrid,29.5,10.9,customer_support;python;sql;design,assistive_technology;accessible_parking;screen_reader_support;ergonomic_workspace;flexible_schedule;quiet_workspace,88,98,67
JOB-1077,QA Analyst,Accessible Employer Y,Delhi,Hybrid,8.4,6.5,documentation;excel;data_analysis;customer_support,assistive_technology;wheelchair_access;flexible_schedule;captioned_meetings;step_free_entry;remote_option,93,73,63
JOB-1078,Python Developer,Accessible Employer Z,Hyderabad,Remote,4.0,19.3,design;project_management;sql;data_analysis,captioned_meetings;ergonomic_workspace;remote_option;accessible_parking;screen_reader_support;step_free_entry,82,72,76
JOB-1079,Customer Support Specialist,Accessible Employer A,Pune,Remote,21.0,11.5,testing;customer_support;communication;design,accessible_toilet;flexible_schedule;remote_option;assistive_technology;ergonomic_workspace;accessible_parking,97,68,93
JOB-1080,QA Analyst,Accessible Employer B,Hyderabad,Remote,8.6,8.6,excel;communication;sql;python,assistive_technology;accessible_parking;wheelchair_access;accessible_toilet;step_free_entry;screen_reader_support,99,69,91
JOB-1081,Python Developer,Accessible Employer C,Remote,On-site,15.0,18.1,documentation;python;design;project_management,accessible_toilet;ergonomic_workspace;accessible_parking;flexible_schedule;screen_reader_support;assistive_technology,65,89,69
JOB-1082,Business Analyst,Accessible Employer D,Mumbai,Hybrid,8.7,13.4,design;documentation;excel;project_management,screen_reader_support;accessible_toilet;captioned_meetings;step_free_entry;flexible_schedule;accessible_parking,94,57,58
JOB-1083,QA Analyst,Accessible Employer E,Mumbai,On-site,5.5,5.5,customer_support;testing;documentation;sql,screen_reader_support;accessible_toilet;assistive_technology;wheelchair_access;accessible_parking;flexible_schedule,50,100,88
JOB-1084,Data Analyst,Accessible Employer F,Remote,Remote,17.4,15.5,excel;documentation;customer_support;data_analysis,accessible_toilet;flexible_schedule;ergonomic_workspace;step_free_entry;remote_option;screen_reader_support,87,98,51
JOB-1085,Software Engineer,Accessible Employer G,Chennai,Hybrid,11.8,17.2,documentation;data_analysis;design;sql,flexible_schedule;ergonomic_workspace;step_free_entry;assistive_technology;screen_reader_support;wheelchair_access,66,66,73
JOB-1086,Customer Support Specialist,Accessible Employer H,Delhi,Remote,8.0,19.2,communication;design;sql;testing,accessible_toilet;flexible_schedule;accessible_parking;assistive_technology;wheelchair_access;ergonomic_workspace,87,99,92
JOB-1087,Technical Support Associate,Accessible Employer I,Chennai,Remote,26.6,18.5,data_analysis;communication;customer_support;testing,remote_option;wheelchair_access;ergonomic_workspace;accessible_toilet;screen_reader_support;step_free_entry,78,66,100
JOB-1088,Data Analyst,Accessible Employer J,Remote,Hybrid,9.5,8.3,documentation;design;sql;testing,flexible_schedule;quiet_workspace;step_free_entry;remote_option;assistive_technology;ergonomic_workspace,82,83,74
JOB-1089,Data Analyst,Accessible Employer K,Pune,On-site,11.5,13.9,data_analysis;documentation;python;project_management,ergonomic_workspace;assistive_technology;captioned_meetings;remote_option;flexible_schedule;screen_reader_support,56,59,100
JOB-1090,Technical Support Associate,Accessible Employer L,Bengaluru,Remote,19.5,18.1,data_analysis;excel;python;customer_support,flexible_schedule;accessible_parking;step_free_entry;quiet_workspace;ergonomic_workspace;assistive_technology,73,83,50
JOB-1091,Technical Support Associate,Accessible Employer M,Bengaluru,On-site,14.5,8.2,customer_support;excel;python;sql,captioned_meetings;ergonomic_workspace;accessible_parking;flexible_schedule;remote_option;assistive_technology,77,67,91
JOB-1092,Python Developer,Accessible Employer N,Delhi,Remote,7.7,9.3,documentation;communication;excel;sql,ergonomic_workspace;step_free_entry;remote_option;quiet_workspace;captioned_meetings;flexible_schedule,51,63,96
JOB-1093,Operations Associate,Accessible Employer O,Hyderabad,Remote,31.8,8.5,communication;customer_support;project_management;python,quiet_workspace;captioned_meetings;step_free_entry;flexible_schedule;remote_option;accessible_toilet,80,94,100
JOB-1094,Customer Support Specialist,Accessible Employer P,Delhi,Hybrid,7.9,5.7,excel;design;python;testing,accessible_toilet;ergonomic_workspace;wheelchair_access;captioned_meetings;step_free_entry;flexible_schedule,70,84,81
JOB-1095,Software Engineer,Accessible Employer Q,Hyderabad,Remote,26.1,10.2,excel;sql;customer_support;communication,wheelchair_access;accessible_parking;captioned_meetings;ergonomic_workspace;screen_reader_support;remote_option,91,99,53
JOB-1096,Project Coordinator,Accessible Employer R,Delhi,On-site,23.4,18.6,python;excel;documentation;design,captioned_meetings;step_free_entry;accessible_toilet;screen_reader_support;quiet_workspace;assistive_technology,69,63,82
JOB-1097,Operations Associate,Accessible Employer S,Delhi,On-site,30.0,6.0,communication;sql;data_analysis;excel,accessible_parking;accessible_toilet;wheelchair_access;ergonomic_workspace;quiet_workspace;remote_option,60,89,56
JOB-1098,Python Developer,Accessible Employer T,Chennai,Remote,22.1,19.6,customer_support;data_analysis;excel;project_management,step_free_entry;accessible_parking;wheelchair_access;screen_reader_support;ergonomic_workspace;accessible_toilet,84,88,99
JOB-1099,Customer Support Specialist,Accessible Employer U,Remote,Hybrid,15.2,8.5,sql;testing;project_management;customer_support,step_free_entry;remote_option;flexible_schedule;ergonomic_workspace;screen_reader_support;assistive_technology,57,65,100
JOB-1100,Documentation Specialist,Accessible Employer V,Remote,Hybrid,16.2,10.6,data_analysis;excel;customer_support;testing,flexible_schedule;assistive_technology;accessible_toilet;wheelchair_access;quiet_workspace;captioned_meetings,84,66,73
